product,Cadereyta total libreImpuestos,Cadereyta Ctdad Ordenada,Coahuila total libreImpuestos,Coahuila Ctdad Ordenada,Durango total libreImpuestos,Durango Ctdad Ordenada,Expos F total libreImpuestos,Expos F Ctdad Ordenada,Laredo total libreImpuestos,Laredo Ctdad Ordenada,Monterrey total libreImpuestos,Monterrey Ctdad Ordenada,Online total libreImpuestos,Online Ctdad Ordenada,Queretaro total libreImpuestos,Queretaro Ctdad Ordenada,Reynosa total libreImpuestos,Reynosa Ctdad Ordenada,San Luis total libreImpuestos,San Luis Ctdad Ordenada,Total libreImpuestos,Ctdad Ordenada,fecha
Producto 50,28631.96,3.5,,,,,,,,,27704.565,3.5,,,,,,,,,56336.525,7,21 may 2022
Producto 36,68882.765,7,,,,,,,,,,,,,,,,,,,68882.765,7,21 may 2022
,,,,,,,,,,,75247.06,3.5,,,,,,,,,75247.06,3.5,21 may 2022
Producto 51,,,,,,,,,,,,,,,45549.875,3.5,,,,,45549.875,3.5,21 may 2022
Producto 75,,,,,,,,,,,46961.53,3.5,,,,,,,,,46961.53,3.5,21 may 2022
Producto 54,,,,,,,,,,,,,57680.56,3.5,,,,,,,57680.56,3.5,21 may 2022
Producto 159,,,,,,,,,,,,,,,,,,,37568.37,3.5,37568.37,3.5,21 may 2022
Producto 76,,,,,,,,,61603.43,3.5,,,,,,,,,,,61603.43,3.5,21 may 2022
Producto 148,,,,,,,,,,,42614.775,3.5,,,,,,,,,42614.775,3.5,21 may 2022
Producto 42,,,,,,,,,,,103191.41,7,,,,,,,,,103191.41,7,21 may 2022
Producto 43,,,,,,,,,,,,,,,70811.86,3.5,,,,,70811.86,3.5,21 may 2022
Producto 151,,,,,,,,,,,56181.335,3.5,,,,,,,,,56181.335,3.5,21 may 2022
Producto 23,,,,,,,,,,,79557.52,3.5,,,,,,,,,79557.52,3.5,21 may 2022
Producto 57,,,,,,,,,135723.28,3.5,,,,,,,180103.84,3.5,171437.35,3.5,487264.47,10.5,21 may 2022
Producto 104,,,,,,,,,,,33203.87,3.5,,,,,,,,,33203.87,3.5,21 may 2022
Producto 60,,,,,,,,,,,42485.765,3.5,,,,,,,,,42485.765,3.5,21 may 2022
Producto 233,,,,,,,,,,,,,,,28829.5,3.5,,,,,28829.5,3.5,21 may 2022
Producto 234,,,,,,,,,,,19190.71,3.5,,,,,,,,,19190.71,3.5,21 may 2022
Producto 8,,,26458.285,3.5,,,,,,,111433.455,17.5,,,49080.115,7,,,22621.83,3.5,209593.685,31.5,22 may 2022
Producto 9,,,,,,,,,,,28393.575,3.5,,,,,,,,,28393.575,3.5,22 may 2022
Producto 10,,,73633.77,7,,,,,41625.325,3.5,31557.365,3.5,,,,,,,,,146816.46,14,22 may 2022
Producto 11,,,,,,,,,,,35882.735,14,,,,,,,,,35882.735,14,22 may 2022
Producto 12,,,26049.52,7,,,,,24954.545,3.5,14884.135,3.5,,,,,,,,,65888.2,14,22 may 2022
Producto 47,,,17140.935,3.5,,,,,,,,,,,,,,,,,17140.935,3.5,22 may 2022
Producto 13,,,,,,,,,,,31561.285,3.5,,,,,,,,,31561.285,3.5,22 may 2022
Producto 27,,,,,,,,,12591.635,3.5,13058.5,3.5,,,,,12591.635,3.5,,,38241.77,10.5,22 may 2022
Producto 14,,,,,,,,,,,14564.235,3.5,,,,,,,,,14564.235,3.5,22 may 2022
Producto 29,,,20105.015,3.5,,,,,,,,,,,,,,,,,20105.015,3.5,22 may 2022
Producto 15,,,,,,,,,,,,,,,,,,,26447.645,3.5,26447.645,3.5,22 may 2022
Producto 30,,,11616.22,3.5,,,,,,,11833.605,3.5,,,,,44724.085,7,,,68173.90999999999,14,22 may 2022
Producto 16,,,30560.53,7,,,,,,,39816.665,10.5,,,,,,,27424.74,3.5,97801.935,21,22 may 2022
Producto 17,,,,,,,,,,,,,,,,,,,42730.415,3.5,42730.415,3.5,22 may 2022
Producto 165,,,,,,,,,,,6106.065000000001,3.5,,,,,,,,,6106.065000000001,3.5,22 may 2022
Producto 71,,,,,,,,,,,22117.06,3.5,,,,,,,,,22117.06,3.5,22 may 2022
Producto 134,,,,,,,,,,,,,,,36898.645,3.5,,,,,36898.645,3.5,22 may 2022
Producto 20,,,,,,,,,,,60692.66,3.5,,,,,,,,,60692.66,3.5,22 may 2022
,,,,,,,,,,,18202.66,7,,,,,,,,,18202.66,7,22 may 2022
Producto 235,,,25909.065,3.5,,,,,,,,,,,,,,,,,25909.065,3.5,22 may 2022
Producto 21,,,,,,,,,,,,,,,10362.45,7,,,4935.875,3.5,15298.325,10.5,22 may 2022
Producto 64,,,18251.45,10.5,,,,,,,,,,,,,,,6529.985000000001,3.5,24781.435,14,22 may 2022
,,,,,,,,,,,27309.17,10.5,,,,,,,,,27309.17,10.5,22 may 2022
,,,,,,,,,,,24275.16,10.5,,,,,,,,,24275.16,10.5,22 may 2022
Producto 147,,,,,,,,,,,,,,,,,,,82845.735,3.5,82845.735,3.5,22 may 2022
Producto 91,,,,,,,,,,,19875.17,3.5,,,,,,,,,19875.17,3.5,22 may 2022
Producto 50,,,,,,,,,,,27704.145,3.5,,,,,,,,,27704.145,3.5,22 may 2022
Producto 36,,,,,,,,,,,34445.67000000001,3.5,,,,,45429.51,3.5,,,79875.18,7,22 may 2022
Producto 80,,,,,,,,,88985.96,7,,,,,,,,,,,88985.96,7,22 may 2022
Producto 127,,,,,,,,,,,39180.155,3.5,,,,,,,,,39180.155,3.5,22 may 2022
Producto 54,,,,,,,,,,,,,,,70119.805,3.5,,,,,70119.805,3.5,22 may 2022
Producto 42,,,,,,,,,,,56121.66,3.5,,,,,,,,,56121.66,3.5,22 may 2022
Producto 23,,,,,,,,,,,68021.66,3.5,,,82854.835,3.5,,,,,150876.495,7,22 may 2022
Producto 227,,,,,,,,,,,56351.015,3.5,,,,,,,,,56351.015,3.5,22 may 2022
Producto 58,,,,,,,,,,,28944.405,3.5,,,,,,,,,28944.405,3.5,22 may 2022
Producto 104,,,,,,,,,,,33203.87,3.5,,,,,,,,,33203.87,3.5,22 may 2022
Producto 186,,,,,,,,,,,37268.98,3.5,,,,,,,,,37268.98,3.5,22 may 2022
,,,,,,,,,,,,,,,8660.89,3.5,,,,,8660.89,3.5,22 may 2022
Producto 81,,,,,,,,,,,7030.485000000001,3.5,,,,,,,,,7030.485000000001,3.5,23 may 2022
Producto 1,,,,,,,,,,,,,,,10538.92,3.5,,,,,10538.92,3.5,23 may 2022
Producto 25,,,,,,,,,,,,,,,32500.51,7,,,,,32500.51,7,23 may 2022
Producto 120,,,,,,,,,,,22389.605,3.5,,,,,,,,,22389.605,3.5,23 may 2022
Producto 194,,,,,,,,,,,62819.33,7,,,,,,,,,62819.33,7,23 may 2022
Producto 2,,,,,,,,,,,,,,,,,18821.46,3.5,,,18821.46,3.5,23 may 2022
Producto 3,,,,,,,,,23614.605,3.5,20939.03,3.5,,,,,,,,,44553.635,7,23 may 2022
Producto 5,,,,,,,,,,,22760.535,3.5,,,,,,,,,22760.535,3.5,23 may 2022
Producto 93,,,,,,,,,,,,,,,,,,,48452.565,3.5,48452.565,3.5,23 may 2022
Producto 26,,,,,,,,,,,51893.765,3.5,,,60375.035,3.5,,,,,112268.8,7,23 may 2022
Producto 7,,,,,,,,,20912.71,3.5,,,,,,,18821.46,3.5,,,39734.17000000001,7,23 may 2022
Producto 8,,,,,,,,,,,21544.6,3.5,25200,3.5,69056.12,10.5,,,45905.125,7,161705.845,24.5,23 may 2022
Producto 9,,,,,,,,,,,,,58135.84,7,29813.245,3.5,,,,,87949.085,10.5,23 may 2022
Producto 10,,,,,,,,,,,63780.465,7,73825.84999999999,7,33135.235,3.5,,,35755.02,3.5,206496.57,21,23 may 2022
Producto 11,,,,,,,,,11780.965,3.5,9923.865,3.5,16992.885,7,17365.915,3.5,,,17365.915,3.5,73429.545,21,23 may 2022
Producto 12,,,,,,,,,,,127270.325,38.5,37931.32,10.5,,,,,,,165201.645,49,23 may 2022
Producto 13,,,,,,,,,23730.56,3.5,31561.285,3.5,,,,,,,,,55291.845,7,23 may 2022
Producto 27,,,,,,,,,,,,,,,12340.265,3.5,,,,,12340.265,3.5,23 may 2022
Producto 69,,,,,,,,,,,14858.725,3.5,,,,,,,,,14858.725,3.5,23 may 2022
Producto 28,,,,,,,,,,,,,55580.28,10.5,,,,,18579.575,3.5,74159.855,14,23 may 2022
Producto 29,,,,,,,,,,,,,21499.1,3.5,,,,,,,21499.1,3.5,23 may 2022
Producto 15,,,,,,,,,,,,,,,27839.595,3.5,,,26447.645,3.5,54287.24,7,23 may 2022
Producto 30,20762.77,7,,,,,,,22244.95,7,,,,,20710.83,7,26017.495,7,,,89736.045,28,23 may 2022
Producto 16,,,14260.82,3.5,,,,,,,,,,,,,,,,,14260.82,3.5,23 may 2022
Producto 17,,,,,,,,,,,,,39449.865,3.5,,,,,,,39449.865,3.5,23 may 2022
Producto 32,,,,,,,,,,,5551,3.5,,,,,,,,,5551,3.5,23 may 2022
Producto 48,,,,,,,,,,,,,6815.935,3.5,,,,,,,6815.935,3.5,23 may 2022
Producto 20,,,,,,,,,,,63887.005,3.5,,,,,,,,,63887.005,3.5,23 may 2022
Producto 123,,,,,,,,,,,24134.915,3.5,,,,,,,,,24134.915,3.5,23 may 2022
,,,,,,,,,,,10922.625,3.5,,,,,,,,,10922.625,3.5,23 may 2022
,,,,,,,,,,,13350.19,3.5,,,,,,,,,13350.19,3.5,23 may 2022
Producto 236,,,34782.755,7,,,,,,,,,,,,,,,,,34782.755,7,23 may 2022
Producto 235,,,25909.065,3.5,,,,,,,,,,,,,,,,,25909.065,3.5,23 may 2022
Producto 21,,,,,,,,,,,45128.02,35,36205.645,28,,,,,,,81333.665,63,23 may 2022
,,,,,,,,,,,38874.78,14,15171.73,7,,,,,14338.205,7,68384.71500000001,28,23 may 2022
,,,,,,,,,,,8190.700000000001,3.5,,,10060.225,3.5,,,31910.165,10.5,50161.09,17.5,23 may 2022
Producto 147,,,,,,,,,,,63267.96000000001,3.5,,,,,,,,,63267.96000000001,3.5,23 may 2022
Producto 50,,,32491.69,3.5,,,,,,,,,32405.17,3.5,,,,,,,64896.86,7,23 may 2022
Producto 36,,,,,,,,,,,,,36254.085,3.5,,,,,,,36254.085,3.5,23 may 2022
Producto 41,,,,,,,,,,,,,51569.14,7,,,,,,,51569.14,7,23 may 2022
Producto 197,,,,,,,,,,,,,,,36619.31,3.5,,,,,36619.31,3.5,23 may 2022
Producto 127,,,41139.14,3.5,,,,,,,,,,,,,,,,,41139.14,3.5,23 may 2022
Producto 237,,,40733.105,3.5,,,,,,,,,,,,,,,,,40733.105,3.5,23 may 2022
Producto 128,,,83855.205,3.5,,,,,,,,,,,,,,,,,83855.205,3.5,23 may 2022
Producto 103,,,,,,,,,,,33872.44,3.5,,,,,,,,,33872.44,3.5,23 may 2022
Producto 42,,,,,,,,,,,,,,,44364.74,3.5,,,,,44364.74,3.5,23 may 2022
Producto 43,,,49586.95,3.5,,,,,,,58141.78999999999,3.5,67441.395,3.5,,,,,,,175170.135,10.5,23 may 2022
Producto 23,,,,,,,,,,,,,160310.01,7,,,,,,,160310.01,7,23 may 2022
Producto 44,,,,,,,,,,,72662.415,3.5,,,,,,,,,72662.415,3.5,23 may 2022
Producto 57,,,,,,,,,,,132619.06,3.5,,,,,,,,,132619.06,3.5,23 may 2022
Producto 59,,,36894.83,3.5,,,,,,,,,,,,,,,,,36894.83,3.5,23 may 2022
Producto 238,,,,,,,,,,,,,,,43022.84,3.5,,,,,43022.84,3.5,23 may 2022
Producto 1,,,,,,,,,,,23772.98,7,,,10538.92,3.5,,,,,34311.9,10.5,24 may 2022
Producto 208,,,,,,,,,,,15614.235,3.5,,,,,,,,,15614.235,3.5,24 may 2022
Producto 192,,,,,,,,,13089.3,3.5,,,,,,,,,,,13089.3,3.5,24 may 2022
Producto 7,,,,,,,,,,,17688.335,3.5,,,,,22013.39,3.5,18445.7,3.5,58147.425,10.5,24 may 2022
Producto 8,,,52916.57,7,,,,,,,21544.6,3.5,,,73157.14,10.5,26997.25,3.5,,,174615.56,24.5,24 may 2022
Producto 9,,,25490.325,3.5,,,,,,,51250.43000000001,7,53617.27,7,25490.325,3.5,32021.64,3.5,,,187869.99,24.5,24 may 2022
Producto 10,,,33135.235,3.5,,,,,,,63114.73,7,,,,,,,,,96249.96500000001,10.5,24 may 2022
Producto 11,,,10420.06,3.5,,,,,20179.355,7,75440.82,24.5,,,36559.81,7,,,,,142600.045,42,24 may 2022
Producto 12,,,,,,,,,,,,,,,22272.32,3.5,,,,,22272.32,3.5,24 may 2022
Producto 13,,,,,,,,,,,,,,,20931.12,3.5,,,,,20931.12,3.5,24 may 2022
Producto 27,,,11767.7,3.5,,,,,,,11165,3.5,,,,,,,,,22932.7,7,24 may 2022
Producto 108,,,,,,,,,,,18209.345,3.5,,,,,,,,,18209.345,3.5,24 may 2022
Producto 69,,,,,,,,,,,13353.165,3.5,,,,,,,,,13353.165,3.5,24 may 2022
Producto 28,17644.795,3.5,20535.9,3.5,,,,,,,51046.31,10.5,,,,,,,,,89227.005,17.5,24 may 2022
Producto 29,,,,,,,,,,,22394.89,3.5,,,,,,,,,22394.89,3.5,24 may 2022
Producto 30,20505.31,7,,,,,,,,,11833.605,3.5,,,41421.66,10.5,,,,,73760.575,21,24 may 2022
Producto 16,,,26129.25,3.5,,,,,,,14931.665,3.5,,,26129.25,7,,,26129.25,7,93319.415,21,24 may 2022
Producto 31,,,,,,,,,20104.35,3.5,33870.41,7,,,,,,,34660.99,3.5,88635.75,14,24 may 2022
Producto 134,,,,,,,,,,,,,37093.91,3.5,,,,,,,37093.91,3.5,24 may 2022
Producto 49,,,,,,,,,,,42182.21,3.5,,,42076.755,3.5,,,,,84258.96500000001,7,24 may 2022
Producto 33,,,,,,,,,,,15170.68,3.5,,,,,,,,,15170.68,3.5,24 may 2022
,,,,,,,,,,,10644.83,3.5,,,,,,,,,10644.83,3.5,24 may 2022
,,,,,,,,,,,10922.625,3.5,,,,,,,,,10922.625,3.5,24 may 2022
,,,,,,,,,,,17598.98,3.5,,,,,,,,,17598.98,3.5,24 may 2022
Producto 21,,,,,,,,,,,20826.61,14,,,9871.75,7,,,,,30698.36,21,24 may 2022
Producto 64,,,,,,,,,,,7130.41,3.5,,,,,,,,,7130.41,3.5,24 may 2022
Producto 202,,,,,,,,,,,7147.875,3.5,,,10655.645,3.5,,,,,17803.52,7,24 may 2022
,,,,,,,,,,,15625.19,7,,,0,3.5,,,14338.205,7,29963.395,17.5,24 may 2022
,,,,,,,,,,,40990.53,17.5,,,16023.14,3.5,,,,,57013.67000000001,21,24 may 2022
,,,,,,,,,,,,,,,,,,,16921.205,3.5,16921.205,3.5,24 may 2022
Producto 215,,,22446.935,3.5,,,,,,,,,,,,,,,,,22446.935,3.5,24 may 2022
,,,,,,,,,,,,,76674.325,3.5,,,,,,,76674.325,3.5,24 may 2022
,,,,,,,,,,,79866.01000000001,3.5,,,,,,,93177.035,3.5,173043.045,7,24 may 2022
Producto 135,,,29670.48,3.5,,,,,,,29744.855,3.5,,,,,,,,,59415.33500000001,7,24 may 2022
Producto 51,,,,,,,,,,,85996.12,7,,,,,,,,,85996.12,7,24 may 2022
Producto 112,,,16992.78,3.5,,,,,,,,,,,,,,,,,16992.78,3.5,24 may 2022
Producto 239,,,,,,,,,,,0,3.5,,,,,,,,,0,3.5,24 may 2022
Producto 237,,,40519.85,3.5,,,,,,,,,,,,,,,,,40519.85,3.5,24 may 2022
Producto 54,,,,,,,,,,,,,60056.395,3.5,,,,,,,60056.395,3.5,24 may 2022
Producto 42,,,,,,,,,,,,,60341.82,3.5,,,,,,,60341.82,3.5,24 may 2022
Producto 23,,,,,,,,,,,78909.355,3.5,,,67851.595,3.5,,,82854.835,3.5,229615.785,10.5,24 may 2022
Producto 44,,,,,,,,,,,76486.76000000001,3.5,,,,,,,,,76486.76000000001,3.5,24 may 2022
Producto 57,,,,,,,,,,,122879.365,3.5,,,,,,,,,122879.365,3.5,24 may 2022
Producto 240,,,,,,,,,,,313793.095,3.5,,,,,,,,,313793.095,3.5,24 may 2022
Producto 175,,,,,,,,,,,234307.185,3.5,,,,,,,,,234307.185,3.5,24 may 2022
Producto 241,,,15924.755,3.5,,,,,,,,,,,,,,,,,15924.755,3.5,24 may 2022
Producto 1,,,,,,,,,,,,,,,10538.92,3.5,,,,,10538.92,3.5,25 may 2022
Producto 5,,,22225.665,3.5,,,,,,,,,,,,,,,,,22225.665,3.5,25 may 2022
Producto 7,,,,,,,,,19812.03,3.5,33377.925,7,,,73782.73,14,,,17523.415,3.5,144496.1,28,25 may 2022
Producto 8,,,,,,,,,27565.615,3.5,21544.6,3.5,,,45243.66,7,,,,,94353.875,14,25 may 2022
Producto 10,,,33135.235,3.5,,,,,,,100023.91,10.5,,,145523.665,14,,,,,278682.81,28,25 may 2022
Producto 11,,,,,,,,,,,33077.87,10.5,,,,,,,,,33077.87,10.5,25 may 2022
Producto 12,,,61582.465,14,,,,,,,12725.93,3.5,,,22272.32,3.5,,,,,96580.71500000001,21,25 may 2022
Producto 13,,,,,,,,,,,36913.765,3.5,,,,,,,,,36913.765,3.5,25 may 2022
Producto 27,,,12340.265,3.5,,,,,,,11165,3.5,,,,,,,,,23505.265,7,25 may 2022
Producto 69,,,,,,,,,,,13353.165,3.5,,,,,,,,,13353.165,3.5,25 may 2022
Producto 28,,,,,,,,,,,17602.165,3.5,,,,,,,,,17602.165,3.5,25 may 2022
Producto 29,,,,,,,,,21594.3,3.5,,,,,,,,,,,21594.3,3.5,25 may 2022
Producto 15,,,,,,,,,,,25188.205,3.5,,,,,,,,,25188.205,3.5,25 may 2022
Producto 30,,,,,,,,,,,50296.61,21,,,,,,,,,50296.61,21,25 may 2022
Producto 16,,,71237.355,17.5,,,,,,,49770,7,29104.32,3.5,,,,,26129.25,7,176240.925,35,25 may 2022
Producto 31,,,17781.96,3.5,,,,,,,0,3.5,33008.605,3.5,,,,,,,50790.565,10.5,25 may 2022
Producto 17,,,43166.445,3.5,,,,,,,61148.325,7,,,,,,,,,104314.77,10.5,25 may 2022
Producto 165,,,,,,,,,,,7141.645,3.5,,,,,,,,,7141.645,3.5,25 may 2022
Producto 35,,,,,,,,,,,29132.985,3.5,,,,,,,,,29132.985,3.5,25 may 2022
,,,,,,,,,,,10112.585,3.5,,,,,,,,,10112.585,3.5,25 may 2022
,,,,,,,,,,,21845.25,7,,,,,,,,,21845.25,7,25 may 2022
Producto 21,,,4935.875,3.5,,,,,,,,,,,5772.935,3.5,,,,,10708.81,7,25 may 2022
Producto 64,,,,,,,,,,,5794.110000000001,3.5,,,,,,,,,5794.110000000001,3.5,25 may 2022
,,,10061.485,3.5,,,,,,,7432.25,3.5,13657.595,7,,,,,,,31151.33,14,25 may 2022
,,,11178.055,3.5,,,,,10265.185,3.5,39446.61,10.5,,,,,,,,,60889.84999999999,17.5,25 may 2022
Producto 91,,,,,,,,,,,,,,,19118.855,3.5,,,,,19118.855,3.5,25 may 2022
Producto 22,,,,,,,,,,,,,28039.445,3.5,75511.48500000002,10.5,,,,,103550.93,14,25 may 2022
Producto 50,,,,,,,,,,,,,,,,,,,29214.185,3.5,29214.185,3.5,25 may 2022
Producto 36,,,,,,,,,,,,,,,,,,,36167.95,3.5,36167.95,3.5,25 may 2022
,,,,,,,,,,,,,92644.58,3.5,167718.635,7,,,,,260363.215,10.5,25 may 2022
Producto 51,,,,,,,,,,,,,,,44610.685,3.5,,,,,44610.685,3.5,25 may 2022
Producto 242,,,,,,,,,,,19319.685,3.5,,,,,,,,,19319.685,3.5,25 may 2022
Producto 75,,,,,,,,,105845.46,7,,,,,,,,,,,105845.46,7,25 may 2022
Producto 243,,,,,,,,,,,78565.655,3.5,,,,,,,,,78565.655,3.5,25 may 2022
Producto 103,,,,,,,,,,,,,,,33787.775,3.5,,,,,33787.775,3.5,25 may 2022
Producto 42,54311.285,3.5,,,,,,,,,51595.705,3.5,,,163414.615,10.5,,,,,269321.605,17.5,25 may 2022
Producto 151,,,,,,,,,,,53372.27,3.5,,,,,,,,,53372.27,3.5,25 may 2022
Producto 23,74227.15999999999,3.5,,,,,,,,,78909.355,3.5,,,,,,,,,153136.515,7,25 may 2022
Producto 244,,,,,,,,,,,230560.085,3.5,,,,,,,,,230560.085,3.5,25 may 2022
Producto 57,,,,,,,,,,,,,137940.145,3.5,,,,,,,137940.145,3.5,25 may 2022
Producto 58,,,,,,,,,27910.61,3.5,24747.485,3.5,,,,,,,,,52658.095,7,25 may 2022
Producto 24,,,,,,,,,,,42023.52,3.5,,,,,,,,,42023.52,3.5,25 may 2022
Producto 208,,,,,,,,,,,26700.31,7,,,,,,,,,26700.31,7,26 may 2022
Producto 181,,,,,,,,,,,13182.33,3.5,,,,,,,,,13182.33,3.5,26 may 2022
Producto 25,,,21669.48,3.5,,,,,,,,,,,,,,,,,21669.48,3.5,26 may 2022
Producto 45,,,95673.27,10.5,,,,,,,,,,,,,,,,,95673.27,10.5,26 may 2022
Producto 2,,,,,,,,,,,16688.98,3.5,,,,,,,20495.23,3.5,37184.21,7,26 may 2022
Producto 3,,,25714.605,3.5,,,,,22636.425,3.5,,,,,,,,,,,48351.03,7,26 may 2022
Producto 6,,,,,,,,,,,,,35493.29,3.5,,,,,,,35493.29,3.5,26 may 2022
Producto 7,,,,,,,,,,,,,,,,,,,38018.645,7,38018.645,7,26 may 2022
Producto 8,,,,,,,,,,,43089.2,7,,,46434.29,7,,,,,89523.48999999999,14,26 may 2022
Producto 9,,,,,,,,,,,,,,,,,,,25490.325,3.5,25490.325,3.5,26 may 2022
Producto 10,,,,,,,,,,,31557.365,3.5,,,,,,,64700.825,7,96258.19,10.5,26 may 2022
Producto 11,,,31279.50000000001,7,,,,,17719.66,7,16538.935,7,,,,,,,10420.06,3.5,75958.155,24.5,26 may 2022
Producto 12,,,14675.045,3.5,,,,,,,60418.365,17.5,,,13362.23,3.5,,,,,88455.64,24.5,26 may 2022
Producto 122,,,,,,,,,,,14238.35,3.5,,,,,,,,,14238.35,3.5,26 may 2022
Producto 47,,,16707.18,3.5,,,,,,,,,,,15871.835,3.5,,,,,32579.015,7,26 may 2022
Producto 13,,,38333.085,3.5,,,,,,,68475.05,7,,,,,,,,,106808.135,10.5,26 may 2022
Producto 28,,,,,,,,,,,20587.315,3.5,,,,,,,,,20587.315,3.5,26 may 2022
Producto 29,,,,,,,,,,,19147.66,3.5,,,,,,,,,19147.66,3.5,26 may 2022
Producto 30,,,,,,,,,,,62518.925,17.5,,,,,22244.95,7,24223.185,7,108987.06,31.5,26 may 2022
Producto 16,,,26129.25,3.5,,,,,,,183393.595,49,,,,,,,26129.25,7,235652.095,59.5,26 may 2022
Producto 31,,,,,,,,,,,57933.40000000001,7,,,,,,,,,57933.40000000001,7,26 may 2022
Producto 78,,,,,,,,,,,28198.94,7,,,,,,,,,28198.94,7,26 may 2022
Producto 32,,,,,,,,,,,6938.75,3.5,,,,,,,,,6938.75,3.5,26 may 2022
Producto 18,,,,,,,,,,,30348.43,3.5,,,,,,,,,30348.43,3.5,26 may 2022
Producto 19,,,,,,,,,,,,,,,47796.735,3.5,,,,,47796.735,3.5,26 may 2022
Producto 144,,,,,,,,,,,41118.525,3.5,,,,,,,,,41118.525,3.5,26 may 2022
Producto 20,,,,,,,,,68447.855,3.5,,,,,,,,,,,68447.855,3.5,26 may 2022
,,,,,,,,,,,26700.38,7,,,,,,,,,26700.38,7,26 may 2022
,,,,,,,,,,,17598.98,3.5,,,,,,,,,17598.98,3.5,26 may 2022
Producto 236,,,15088.78,3.5,,,,,,,,,,,,,,,,,15088.78,3.5,26 may 2022
Producto 21,,,,,,,,,,,9676.555,7,,,,,,,,,9676.555,7,26 may 2022
Producto 64,,,,,,,,,7031.255,3.5,,,,,,,,,,,7031.255,3.5,26 may 2022
,,,,,,,,,,,15970.255,3.5,,,8602.545,3.5,,,,,24572.8,7,26 may 2022
,,,,,,,,,,,30342.97,10.5,,,,,,,18631.48,7,48974.45,17.5,26 may 2022
Producto 22,,,,,,,,,,,23971.01,3.5,,,26497.275,3.5,,,,,50468.285,7,26 may 2022
,,,,,,,,,,,,,,,,,,,93177.035,3.5,93177.035,3.5,26 may 2022
Producto 197,,,36619.31,3.5,,,,,,,,,,,,,,,,,36619.31,3.5,26 may 2022
Producto 127,,,43295.035,3.5,,,,,,,,,,,,,,,,,43295.035,3.5,26 may 2022
Producto 54,,,,,,,,,,,,,60056.395,3.5,,,,,,,60056.395,3.5,26 may 2022
Producto 128,,,66677.485,3.5,,,,,,,79862.09000000001,3.5,,,,,,,,,146539.575,7,26 may 2022
Producto 42,,,,,,,,,,,60345.84500000001,3.5,,,,,,,,,60345.84500000001,3.5,26 may 2022
Producto 43,,,,,,,,,,,58141.78999999999,3.5,,,,,,,,,58141.78999999999,3.5,26 may 2022
Producto 23,,,78712.095,3.5,,,,,,,92291.675,3.5,,,,,,,,,171003.77,7,26 may 2022
Producto 58,,,,,,,,,,,24747.485,3.5,,,,,,,51971.465,7,76718.95,10.5,26 may 2022
Producto 59,,,,,,,,,,,95226.18,10.5,,,,,,,,,95226.18,10.5,26 may 2022
Producto 60,,,,,,,,,,,41878.235,3.5,,,,,,,,,41878.235,3.5,26 may 2022
Producto 162,,,,,,,,,,,,,,,,,,,336354.83,3.5,336354.83,3.5,26 may 2022
Producto 187,,,,,,,,,,,54307.33,3.5,,,,,,,,,54307.33,3.5,26 may 2022
Producto 87,,,22630.02,3.5,,,,,,,,,,,,,,,,,22630.02,3.5,26 may 2022
Producto 194,,,,,,,,,,,73472.875,7,,,,,,,,,73472.875,7,27 may 2022
Producto 3,,,,,,,,,,,,,,,21031.01,3.5,,,,,21031.01,3.5,27 may 2022
Producto 82,,,,,,,,,,,23320.255,3.5,,,,,,,,,23320.255,3.5,27 may 2022
Producto 77,,,,,,,,,,,,,,,47800.13,3.5,,,,,47800.13,3.5,27 may 2022
Producto 8,,,,,,,,,,,25198.355,3.5,,,49080.115,7,,,22621.83,3.5,96900.3,14,27 may 2022
Producto 9,,,,,,,,,,,28393.575,3.5,,,,,,,,,28393.575,3.5,27 may 2022
Producto 10,,,,,,,,,,,,,,,33135.235,3.5,,,,,33135.235,3.5,27 may 2022
Producto 11,,,,,,,,,16294.425,7,47473.05500000001,17.5,,,,,,,,,63767.48000000001,24.5,27 may 2022
Producto 12,,,,,,,,,,,,,,,26049.52,3.5,,,,,26049.52,3.5,27 may 2022
Producto 47,,,,,,,,,17944.745,3.5,,,,,,,,,,,17944.745,3.5,27 may 2022
Producto 13,,,19913.845,3.5,,,,,,,31529.715,7,,,,,,,,,51443.56,10.5,27 may 2022
Producto 27,,,13711.425,3.5,,,,,,,,,,,,,,,13579.79,3.5,27291.215,7,27 may 2022
Producto 108,,,,,,,,,,,,,,,,,20536.075,3.5,,,20536.075,3.5,27 may 2022
Producto 212,,,,,,,,,,,12560.765,3.5,,,,,,,,,12560.765,3.5,27 may 2022
Producto 28,,,,,,,,,,,17602.165,3.5,,,,,,,,,17602.165,3.5,27 may 2022
Producto 29,,,,,,,,,,,,,,,22338.925,3.5,,,,,22338.925,3.5,27 may 2022
Producto 30,,,24223.185,7,,,,,23936.115,7,53641.735,10.5,,,,,,,,,101801.035,24.5,27 may 2022
Producto 16,,,68937.82,10.5,,,,,,,39816.665,10.5,,,,,,,15843.31,3.5,124597.795,24.5,27 may 2022
Producto 31,,,0,0,,,,,,,,,,,,,,,,,0,0,27 may 2022
Producto 17,,,,,,,,,,,27685.315,3.5,,,,,,,,,27685.315,3.5,27 may 2022
Producto 78,,,29868.37,7,,,,,,,,,,,,,,,,,29868.37,7,27 may 2022
